expresion,expression_base,class,class_general
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
RODEN Road Design Polska Sp ,RODEN Road design Polska spółka ,nam_org_company,nam_org
Urzędowi Zamówień Publicznych ,urząd zamówienie publiczny ,nam_org_institution,nam_org
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Zamawiającemu ,zamawiać ,nam_liv_person,nam_liv
Odwołujący ,odwoływać ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
RODEN Road Design Polska Sp ,RODEN Road design Polska spółka ,nam_org_company,nam_org
Zamawiającemu ,zamawiać ,nam_liv_person,nam_liv
Sąd Okręgowy we Wrocławiu Wydział III Karny ,sąd okręgowy w Wrocław wydział III karny ,nam_org_institution,nam_org
Prokuratora Prokuratury Apelacyjnej ,prokurator prokuratura apelacyjny ,nam_org_institution,nam_org
zł ,złoty ,nam_oth_currency,nam_oth
M ,M ,nam_liv_person,nam_liv
zł ,złoty ,nam_oth_currency,nam_oth
Bank S ,bank sekunda ,nam_org_company,nam_org
Krzysztof Strzelczyk ,Krzysztof strzelczyk ,nam_liv_person,nam_liv
Jana B ,Jan bajt ,nam_liv_person,nam_liv
Sąd Rejonowy ,sąd rejonowy ,nam_org_institution,nam_org
Jana B ,Jan bajt ,nam_liv_person,nam_liv
Sąd Rejonowy ,sąd rejonowy ,nam_org_institution,nam_org
Abrahama H ,Abraham H ,nam_liv_person,nam_liv
Sąd Okręgowy ,sąd okręgowy ,nam_org_institution,nam_org
Sąd Okręgowy ,sąd okręgowy ,nam_org_institution,nam_org
Sąd Okręgowy ,sąd okręgowy ,nam_org_institution,nam_org
Sądowi Okręgowemu ,sąd okręgowy ,nam_org_institution,nam_org
Najwyższy ,najwyższy ,nam_liv_person,nam_liv
Sądu Najwyższego ,sąd najwyższy ,nam_org_institution,nam_org
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Sądu Najwyższego ,sąd najwyższy ,nam_org_institution,nam_org
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Trybunał Konstytucyjny ,trybunał konstytucyjny ,nam_org_institution,nam_org
Stanisław Rymar ,Stanisław Rymar ,nam_liv_person,nam_liv
Piotra P ,Piotr P ,nam_liv_person,nam_liv
Ordynacja podatkowa ,ordynacja podatkowy ,nam_pro_title_document,nam_pro
Urząd Kontroli Skarbowej ,urząd kontrola skarbowy ,nam_org_institution,nam_org
Urząd Kontroli Skarbowej ,urząd kontrola skarbowy ,nam_org_institution,nam_org
Urzędu Kontroli Skarbowej ,urząd kontrola skarbowy ,nam_org_institution,nam_org
Wojewódzkiego Sądu Administracyjnego w Krakowie ,wojewódzki sąd administracyjny w Krak ,nam_org_institution,nam_org
Sąd Administracyjny ,sąd administracyjny ,nam_org_institution,nam_org
Trybunał Konstytucyjny ,trybunał konstytucyjny ,nam_org_institution,nam_org
Trybunał Konstytucyjny ,trybunał konstytucyjny ,nam_org_institution,nam_org
Trybunału Konstytucyjnego ,trybunał konstytucyjny ,nam_org_institution,nam_org
Trybunału Konstytucyjnego ,trybunał konstytucyjny ,nam_org_institution,nam_org
Trybunału Konstytucyjnego ,trybunał konstytucyjny ,nam_org_institution,nam_org
Trybunał Konstytucyjny ,trybunał konstytucyjny ,nam_org_institution,nam_org
Adam Jamróz ,Adam Jamróz ,nam_liv_person,nam_liv
Ewa Łętowska ,Ewa Łętowska ,nam_liv_person,nam_liv
Zbigniew Cieślak ,Zbigniew Cieślak ,nam_liv_person,nam_liv
Trybunału Konstytucyjnego ,trybunał konstytucyjny ,nam_org_institution,nam_org
Kodeks postępowania cywilnego ,kodeks postępowanie cywilny ,nam_pro_title_document,nam_pro
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Trybunał Konstytucyjny ,trybunał konstytucyjny ,nam_org_institution,nam_org
Sądem Najwyższym ,sąd najwyższy ,nam_org_institution,nam_org
Trybunału Konstytucyjnego ,trybunał konstytucyjny ,nam_org_institution,nam_org
Biuro Trybunału Konstytucyjnego ,biuro trybunał konstytucyjny ,nam_org_institution,nam_org
Trybunał Konstytucyjny ,trybunał konstytucyjny ,nam_org_institution,nam_org
Trybunał Konstytucyjny ,trybunał konstytucyjny ,nam_org_institution,nam_org
Trybunał Konstytucyjny ,trybunał konstytucyjny ,nam_org_institution,nam_org
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Trybunał Konstytucyjny ,trybunał konstytucyjny ,nam_org_institution,nam_org
TK ,TK ,nam_org_institution,nam_org
Sądu Najwyższego ,sąd najwyższy ,nam_org_institution,nam_org
Najwyższego ,najwyższy ,nam_liv_person,nam_liv
Rzecznika Dyscyplinarnego Naczelnej Rady Adwokac ,rzecznik dyscyplinarny naczelny rad Adwokac ,nam_org_institution,nam_org
Krzysztofa M ,Krzysztof M ,nam_liv_person,nam_liv
Z A S A D ,z a sekunda a D ,nam_org_company,nam_org
Sąd Dyscyplinarny Adwokatury ,sąd dyscyplinarny adwokatura ,nam_org_institution,nam_org
Krzysztofa M ,Krzysztof M ,nam_liv_person,nam_liv
Rzecznika Dyscyplinarnego Naczelnej Rady Adwokackiej ,rzecznik dyscyplinarny naczelny rad adwokacki ,nam_org_institution,nam_org
Najwyższy ,najwyższy ,nam_liv_person,nam_liv
Krzysztofa M ,Krzysztof M ,nam_liv_person,nam_liv
Najwyższego ,najwyższy ,nam_liv_person,nam_liv
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Krzysztof Strzelczyk ,Krzysztof strzelczyk ,nam_liv_person,nam_liv
2 Sąd Okręgowy ,2 sąd okręgowy ,nam_org_institution,nam_org
Sądu Okręgowego Gmina ,sąd okręgowy gmina ,nam_org_institution,nam_org
Sąd Okręgowy ,sąd okręgowy ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Sądu Apelacyjnego ,sąd apelacyjny ,nam_org_institution,nam_org
Najwyższy ,najwyższy ,nam_liv_person,nam_liv
Sądu Najwyższego ,sąd najwyższy ,nam_org_institution,nam_org
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Marka N ,Marek N ,nam_liv_person,nam_liv
Marka N ,Marek N ,nam_liv_person,nam_liv
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Sądu Najwyższego ,sąd najwyższy ,nam_org_institution,nam_org
Prokurator Prokuratury Generalnej ,prokurator prokuratura generalny ,nam_org_institution,nam_org
Pawła R ,Paweł R ,nam_liv_person,nam_liv
Z A S A D ,z a sekunda a D ,nam_org_company,nam_org
Krystianowi W ,Krystian w ,nam_liv_person,nam_liv
Sławomirowi D ,Sławomir D ,nam_liv_person,nam_liv
Arkadiuszowi K ,Arkadiusz k ,nam_liv_person,nam_liv
Arkadiuszowi A ,Arkadiusz a ,nam_liv_person,nam_liv
Pawła R ,Paweł R ,nam_liv_person,nam_liv
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Sąd Okręgowy w Ś ,sąd okręgowy w Ś ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Sąd ,sąd ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Pawła R ,Paweł R ,nam_liv_person,nam_liv
Sądu Okręgowego ,sąd okręgowy ,nam_org_institution,nam_org
Pawła R ,Paweł R ,nam_liv_person,nam_liv
Sądowi Apelacyjnemu ,sąd apelacyjny ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Sąd Apelacyjny orzekający ,sąd apelacyjny orzekać ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Najwyższego ,najwyższy ,nam_liv_person,nam_liv
Pawłowi R ,Paweł R ,nam_liv_person,nam_liv
Sądu Apelacyjnego ,sąd apelacyjny ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Sąd Apelacyjny ,sąd apelacyjny ,nam_org_institution,nam_org
Sądu Apelacyjnego ,sąd apelacyjny ,nam_org_institution,nam_org
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Z A S A D N I E N I E Zamawiający ,z a sekunda a D N i e N i e zamawiać ,nam_org_company,nam_org
Biernackiego ,Biernacki ,nam_liv_person,nam_liv
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Biuletynie Zamówień Publicznych ,biuletyn zamówienie publiczny ,nam_org_institution,nam_org
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Janusz Łukaszewski ,Janusz Łukaszewski ,nam_liv_person,nam_liv
Zamawiającego Janusz Łukaszewski ,zamawiać Janusz Łukaszewski ,nam_liv_person,nam_liv
Janusz Łukaszewski ,Janusz Łukaszewski ,nam_liv_person,nam_liv
Janusz Łukaszewski ,Janusz Łukaszewski ,nam_liv_person,nam_liv
Zamawiający ,zamawiać ,nam_liv_person,nam_liv
Janusz Łukaszewski ,Janusz Łukaszewski ,nam_liv_person,nam_liv
Janusz Łukaszewski ,Janusz Łukaszewski ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Zamawiającemu ,zamawiać ,nam_liv_person,nam_liv
Zamawiający ,zamawiać ,nam_liv_person,nam_liv
Zamawiający ,zamawiać ,nam_liv_person,nam_liv
VAT ,VAT ,nam_org_institution,nam_org
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Zamawiający ,zamawiać ,nam_liv_person,nam_liv
NURBET ,NURBET ,nam_pro_media_periodic,nam_pro
Sąd Okręgowy w Krakowie ,sąd okręgowy w Krak ,nam_org_institution,nam_org
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Zamawiający ,zamawiać ,nam_liv_person,nam_liv
Firma Usługowo – Handlowa ,firma usługowo – handlowy ,nam_org_company,nam_org
TWS Grupy Budowlane Spółka ,TWS grupa budowlany spółka ,nam_org_company,nam_org
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Krajowej Izby Odwoławczej ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Szpital Chorób ,szpital choroba ,nam_org_institution,nam_org
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Zakład Usługowo – Produkcyjny ,zakład usługowo – produkcyjny ,nam_org_company,nam_org
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Dz ,dziennik ,nam_pro_media_periodic,nam_pro
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Teatru Dramatycznego w Wałbrzychu ,teatr dramatyczny w Wałbrzych ,nam_org_institution,nam_org
Biernackiego ,Biernacki ,nam_liv_person,nam_liv
Bank ,bank ,nam_org_company,nam_org
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Zamawiający ,zamawiać ,nam_liv_person,nam_liv
Odwołujący ,odwoływać ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Krajową Izbę Odwoławczą ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
złotych ,złoty ,nam_oth_currency,nam_oth
Zakładu Usługowo ,zakład usługowo ,nam_org_company,nam_org
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Izby ,izba ,nam_loc_gpe_city,nam_loc
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Najwyższego ,najwyższy ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Zamawiającego ,zamawiać ,nam_liv_person,nam_liv
Odwołującego ,odwoływać ,nam_liv_person,nam_liv
Przystępującego ,przystępować ,nam_liv_person,nam_liv
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Prezesa Krajowej Izby Odwoławczej ,prezes krajowy izba odwoławczy ,nam_org_institution,nam_org
Ryszarda Bajdę ,Ryszard bajda ,nam_liv_person,nam_liv
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Dz ,dziennik ,nam_pro_media_periodic,nam_pro
Dz ,dziennik ,nam_pro_media_periodic,nam_pro
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
NextiraOne Polska Sp ,NextiraOne Polska spółka ,nam_org_company,nam_org
Urzędowi Zamówień Publicznych ,urząd zamówienie publiczny ,nam_org_institution,nam_org
Narodowy Bank Polski ,narodowy bank Polska ,nam_org_organization,nam_org
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Kazimierz Jaśkowski ,Kazimierz Jaśkowski ,nam_liv_person,nam_liv
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Powód Stefan ,powód Stefan ,nam_liv_person,nam_liv
Sądu Rejonowego ,sąd rejonowy ,nam_org_institution,nam_org
M ,M ,nam_liv_person,nam_liv
Sąd Rejonowy ,sąd rejonowy ,nam_org_institution,nam_org
Urząd Marszałkowski ,urząd marszałkowski ,nam_org_institution,nam_org
Sąd Okręgowy ,sąd okręgowy ,nam_org_institution,nam_org
Sądu Okręgowego ,sąd okręgowy ,nam_org_institution,nam_org
Sądu Okręgowego ,sąd okręgowy ,nam_org_institution,nam_org
Urzędzie Mar ,urząd Mar ,nam_org_institution,nam_org
Sąd Okręgowy ,sąd okręgowy ,nam_org_institution,nam_org
Najwyższy ,najwyższy ,nam_liv_person,nam_liv
Urzędu Marszałkowskiego Województwa M ,urząd marszałkowski województwo M ,nam_org_institution,nam_org
Marszałkowski ,marszałkowski ,nam_liv_person,nam_liv
Urzędem Gminy ,urząd gmin ,nam_org_institution,nam_org
Urzędzie Marszałkow ,urząd Marszałkow ,nam_org_institution,nam_org
Urzędu Marszałkow ,urząd Marszałkow ,nam_org_institution,nam_org
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Warszawie ,Warszawa ,nam_loc_gpe_city,nam_loc
Prezesa Krajowej Izby Odwoławczej ,prezes krajowy izba odwoławczy ,nam_org_institution,nam_org
Centrum Projektów Informatycznych Ministerstwa Spraw Wewnętrznych i Administracji ,centrum projekt informatyczny ministerstwo sprawa wewnętrzny i administracja ,nam_org_institution,nam_org
Dz ,dziennik ,nam_pro_media_periodic,nam_pro
Zamawiającemu ,zamawiać ,nam_liv_person,nam_liv
Zamawiający ,zamawiać ,nam_liv_person,nam_liv
Sąd Okręgowy we Wrocławiu Wydział III Karny ,sąd okręgowy w Wrocław wydział III karny ,nam_org_institution,nam_org
Prokuratora Prokuratury Okręgowej ,prokurator prokuratura okręgowy ,nam_org_institution,nam_org
Krajowego Rejestru Urzędowego Podmiotów Gospodarki Narodowej ,krajowy rejestr urzędowy podmiot gospodarka narodowy ,nam_org_institution,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA nr ,bank SA nr ,nam_org_company,nam_org
Krajowego Rejestru Urzędowego Podmiotów Gospodarki Narodowej ,krajowy rejestr urzędowy podmiot gospodarka narodowy ,nam_org_institution,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA o nr ,bank SA o nr ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
K ,k ,nam_liv_person,nam_liv
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK SA ,bank SA ,nam_org_company,nam_org
BANK S ,bank sekunda ,nam_org_company,nam_org
J ,J ,nam_liv_person,nam_liv
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Warszawie ,Warszawa ,nam_loc_gpe_city,nam_loc
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Centrum Systemów Informacyjnych Ochrony Zdrowia ,centrum system informacyjny ochrona zdrowie ,nam_org_institution,nam_org
Prezesa Krajowej Izby Odwoławczej ,prezes krajowy izba odwoławczy ,nam_org_institution,nam_org
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Prawo zamówień publicznych ,prawo zamówienie publiczny ,nam_pro_title_document,nam_pro
Natan ,Natan ,nam_liv_person,nam_liv
Natan ,Natan ,nam_liv_person,nam_liv
ustawy z dnia 11 marca 2004 r ,ustawa z dzień 11 marzec 2004 r ,nam_pro_title_document,nam_pro
VAT ,VAT ,nam_org_organization,nam_org
Urzędu Zamówień Publicznych ,urząd zamówienie publiczny ,nam_org_institution,nam_org
Krajowa Izba Odwoławcza ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Izby ,izba ,nam_loc_gpe_city,nam_loc
Izby ,izba ,nam_loc_gpe_city,nam_loc
Krajowej Izby Odwoławczej ,krajowy izba odwoławczy ,nam_org_institution,nam_org
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
VAT ,VAT ,nam_org_institution,nam_org
VAT ,VAT ,nam_oth_other,nam_oth
ustawy z dnia 11 marca 2004 r ,ustawa z dzień 11 marzec 2004 r ,nam_pro_title_document,nam_pro
Ordynacji podatkowej oraz w ustawie z dnia 11 marca 2004 r ,ordynacja podatkowy oraz w ustawa z dzień 11 marzec 2004 r ,nam_pro_title_document,nam_pro
Najwyższego ,najwyższy ,nam_liv_person,nam_liv
VAT ,VAT ,nam_org_company,nam_org
VAT ,VAT ,nam_oth_tech,nam_oth
Sąd Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
Sądu Najwyższy ,sąd najwyższy ,nam_org_institution,nam_org
VAT ,VAT ,nam_oth_tech,nam_oth
VAT ,VAT ,nam_oth_tech,nam_oth
VAT ,VAT ,nam_oth_tech,nam_oth
Kodeks ,kodeks ,nam_liv_person,nam_liv
VAT ,VAT ,nam_oth_tech,nam_oth
VAT ,VAT ,nam_oth_tech,nam_oth
VAT ,VAT ,nam_org_institution,nam_org
VAT ,VAT ,nam_oth_other,nam_oth
VAT ,VAT ,nam_org_company,nam_org
Sądu Apelacyjnego ,sąd apelacyjny ,nam_org_institution,nam_org
Izby ,izba ,nam_loc_gpe_city,nam_loc
Ordynacja podatkowa ,ordynacja podatkowy ,nam_pro_title_document,nam_pro
